userId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,-0.073505156,-0.8069802,-0.16185193,1.0391068,-1.1971278,0.3685808,-0.6670249,-1.1156904,0.131464,2.455496,0.92366755,0.49940416,0.9578871,-0.91140413,-2.070811,-1.4786481,-0.11847408,-0.7905987,-0.35290235,0.31499317,0.33139363,-1.0219642,1.607538,0.22569998,1.5814734,-0.08963356,0.7076112,-1.5895655,-0.32499257,-0.26445034,0.19924216,-0.5211491,-0.19693922,-0.1389831,-0.7422812,-0.47945586,0.06431954,0.35616633,0.38900736,0.0846953,0.7255755,1.6011244,0.56843334,-0.84977955,-0.58196276,0.96014255,0.39460894,0.35567987,1.7198647,0.6020605,-0.11798872,0.3373385,-1.4802237,-0.21287332,0.029314697,-0.6069927,-2.9765527,-0.17536214,1.498767,0.6097655,0.39919585,0.8778926,0.8086182,0.5978343
2,-0.39090663,1.644911,2.74666,-0.13343576,-0.5267613,1.3469619,-0.73401695,-0.51762706,0.63531727,-0.92334193,-0.4346265,-0.13269742,1.9189672,0.7365153,-2.1406527,-0.08338848,0.4393188,0.26195386,-1.7908696,-0.5592636,1.8979849,0.91433525,1.2021768,0.005131533,-0.5381337,0.2940935,1.229687,0.46492133,-1.4132317,-1.8505388,1.1117598,2.578455,2.1681628,1.8806593,0.35395932,1.24528,1.2250308,-0.08959861,-0.1620367,0.1921577,-1.0978475,0.24701001,1.1907836,-0.48374736,-1.1549038,0.5452092,-0.5491622,0.11169215,-0.64036053,-0.99187905,-0.20847139,-1.2939415,0.7012516,-0.22002722,-0.94693315,1.1640857,-0.9172948,0.306604,-0.87671155,2.9931421,-0.88051367,-2.1881456,0.44049078,0.039742127
3,-0.3369422,-0.18832314,1.9373733,-0.82792366,1.0403023,-0.019760184,0.69656444,0.7496786,1.0918708,2.4746745,0.8664745,1.8035161,-0.35262793,-0.7166144,-1.0104142,-1.035887,1.7120988,0.075194016,0.6717865,-0.32381055,1.0073502,2.4398403,-0.38928235,-1.4724947,1.6596652,0.08499087,-1.3632573,-0.9824216,1.2160543,-1.1262422,-0.9668118,1.223479,-1.2245145,-0.34843972,0.72268856,-0.1582979,1.0541663,-0.8535872,0.60730505,-0.202755,-0.79767627,0.36997902,-0.51738745,0.8390151,0.58658767,0.7354374,0.86445624,-0.13159502,-0.80368227,0.626954,-2.0011315,2.3224375,-1.9374487,0.5975249,-1.6257393,0.15762126,1.5354073,0.8523831,-0.49914718,-0.25924334,-0.8319525,-1.6761105,-0.59927547,-0.942501
4,0.6674887,0.23061647,0.076292425,1.1543815,-0.18739253,-1.0306097,-1.2509564,0.17454946,-0.6178319,-0.7124542,-1.1027812,0.4350354,-0.98731977,-0.4931238,0.42722216,0.06276305,1.8661228,-0.95045274,0.40665942,0.28538942,-0.6011247,0.64536256,-1.8426007,0.22150297,1.3136718,-1.605802,-1.3136886,1.2684367,-1.0694962,-0.037214875,0.56415176,-1.6229457,-0.19955428,0.9246024,1.0478303,-0.631465,-0.011941127,-0.4238564,2.1740499,0.60791904,-1.0848818,0.043497946,-0.1310236,0.2672033,-1.3347754,-1.077344,-0.45772013,-0.94661665,1.240912,-0.08908534,0.29368812,0.11473329,0.84148806,1.2606763,-0.5582373,-0.5307588,-0.45770246,-1.0978758,0.42975298,0.22753452,0.795359,0.4343665,0.4833959,-1.7198431
5,0.7725298,0.6093795,-0.5493305,0.96422434,1.0197289,0.5880793,-1.7281653,-0.14880939,0.87153274,1.0181803,-1.7397791,1.8223099,0.67394185,-0.1944243,0.7023045,-0.28452978,0.1467985,-0.9629073,0.5808906,-0.6288194,-0.079540424,0.49437642,-0.12555997,0.09887123,-0.0045600543,-0.17568748,-1.8223788,-0.8779811,0.12036574,-1.2057601,-0.747204,1.08425,-0.99248695,1.2705823,0.55561596,1.1271685,1.3161871,1.3457111,1.6252731,0.5383639,2.157891,1.2453616,0.43884552,-0.42350376,0.81215835,-0.6841294,-1.3287647,0.52613074,1.6576267,-0.0585872,-0.7663466,1.6751812,-0.7811294,0.87611777,-0.35752183,-0.32860696,-0.26899636,0.9092034,-2.037214,1.1769887,-0.23849887,-0.24217662,0.36344206,0.34425744
6,-0.35865834,0.5063455,0.95133704,-0.49288058,-1.2947646,0.30577156,0.0674853,-0.4518399,0.7581898,0.13428956,-0.14334619,-1.1390911,0.6188732,0.9750282,-1.029403,0.1557929,-0.13705508,0.5585245,-1.1274861,-0.7510118,-1.029401,-1.0907314,-0.34915596,0.7332084,0.5969812,0.9064628,-0.29340854,-0.7215909,-0.44631273,-1.8039393,-1.5765508,-0.32757658,-3.3237576,0.04885024,-1.026695,-0.97584134,0.26379934,-0.8940124,0.6447385,-0.023316646,-0.21011913,-0.62416714,0.92424804,-2.0367367,0.49076554,-0.002164612,-0.09480247,-1.2118013,1.9362589,-0.045520004,1.553038,-0.62733406,-2.418615,1.2143542,0.8194458,-0.60275257,-0.0328836,1.0933257,1.3555137,0.46279642,0.10280901,0.75745744,0.2621693,-0.28923893
7,0.1482986,0.61710715,-0.85025585,-0.4981566,-0.35288337,0.54212415,-1.160585,-0.7489321,-0.012028299,-0.7497896,0.8038634,0.8893473,-0.6702015,-0.8919653,0.6059765,-0.8316831,-0.11792245,0.48773673,-0.20303844,-0.73023826,2.8313987,1.2694815,-0.4243218,0.29461923,-0.55370325,1.9518303,-0.6474047,0.85016286,1.1429698,-1.1827774,-2.0302098,0.25439247,-2.0429127,0.6681552,0.49075815,-1.9048898,-0.17965217,0.9727565,0.59994864,1.5100566,1.2211562,-0.49780384,-1.093716,-0.1351498,-1.160539,1.4698699,0.7611897,0.4708115,1.9698215,0.89175653,0.5873767,0.53872186,0.4223782,-0.64859235,-1.0668696,-0.80851376,-0.6561415,-0.6020683,0.5008092,-1.5806577,-0.07993999,0.6361752,-0.25319946,-0.38004577
8,-1.156216,-1.0851991,2.3657417,-0.4637873,1.0315075,0.87369347,1.2978622,1.8931273,1.123733,0.9334739,1.4653243,-0.3509078,0.38536933,0.9310331,0.77531904,-0.24081387,-0.8245665,-1.1299906,1.1753935,0.06567364,-0.55284446,-1.4164878,0.72960484,0.038973384,0.7456941,-0.75992954,0.77265614,-1.0489682,0.9744742,-0.73606133,-1.0166029,0.24373434,1.9162486,-1.1954637,0.18325353,-0.20651674,0.17527024,-0.289302,-1.2758595,-0.8561065,-0.31265798,0.97088015,0.06117604,-0.24477461,-0.40359586,-1.0011573,-0.67928064,0.6436588,0.41750053,2.5038083,0.5019398,1.0418168,1.9123706,-0.93153465,0.7815725,0.55729485,0.15240084,-0.94798535,0.66728127,-0.61264586,-0.83078593,0.047540396,-0.31024945,0.4013338
9,-0.9500518,-0.8514536,-2.2834237,-0.74759716,0.38231036,-1.468265,0.6462453,0.88471323,-0.52864665,-2.0469685,2.9828007,-0.16556518,1.6251,-0.048630614,-0.84589356,-0.94009644,-1.814005,1.6970686,0.6172897,1.7000282,1.0388621,-0.45816943,-0.89567006,1.4449985,-0.11224514,-0.8773816,0.74250954,0.28202412,-0.13800874,1.8163046,0.049708262,-0.46880004,0.69009334,0.1552868,-0.24081968,-1.3557235,-0.36376822,-1.3933353,1.0555878,-0.5791546,0.7588837,-0.3013675,2.215979,-0.9086192,-1.9664392,0.10227343,-0.71292794,-0.35490587,0.65389603,1.586599,-0.98345196,0.2578746,-0.48133275,-0.5844566,1.3358666,0.39430308,0.12911539,0.17586209,0.44863564,1.0795568,-0.42782345,-0.17006978,0.45606804,0.08466922
10,-0.39197007,-1.9670806,-0.4229254,-0.2177286,1.029012,0.0017483836,-0.73024017,-1.8721141,-0.43872157,1.0596023,2.3120108,0.4676829,-0.83590853,-2.8916037,0.962625,0.6125686,0.97915494,-1.049255,0.060643006,0.3335919,2.128695,0.48807916,3.18516,0.54813004,-1.7413058,-1.5762963,0.44031358,0.16049896,1.1104449,-2.9061568,0.8125385,-0.42720607,0.87506855,2.765451,0.15334477,-0.19287352,2.5832798,0.48527992,-1.1683244,0.17219685,1.6834747,-1.3882653,-1.0321628,0.5579066,-1.4852906,-0.8689057,0.5737089,-0.9388672,-0.20319116,-0.30202168,-1.6639545,-0.05981964,-0.48368958,-0.84127337,0.16483775,-2.7595053,0.6030805,-1.2415546,0.57908016,0.027868511,1.1311033,0.26796365,-0.36465347,0.25694862
