userId,tsne_1,tsne_2
5530,-16.163599,-15.202111
711,8.951787,9.668521
4924,-2.1165812,-13.47338
2154,-16.124561,14.373423
1273,4.2704854,-10.606005
2317,24.471243,-6.0786448
2095,-14.526915,-13.749458
3128,-8.71629,13.049644
743,-19.858244,3.3834348
297,-8.385418,14.347091
3695,27.4456,-7.952333
1143,29.551203,-12.879558
409,1.5598814,4.829092
5286,8.221006,-10.023051
3950,-17.15046,8.7806015
1621,-16.832943,-5.5079937
2054,-6.050042,-17.94561
5594,8.351906,1.8251597
5759,3.957128,14.925183
866,1.0029238,3.9376144
806,6.075961,7.758174
656,-2.167201,10.951916
4818,0.5319722,-7.386429
2516,-5.0469604,7.293723
5671,35.61974,-4.9176946
24,6.443161,-3.5252278
1422,-31.850954,3.6517103
5655,4.8748636,-17.244148
5256,-15.662916,-13.793275
2437,-13.870493,5.9861255
4161,-26.501219,17.746986
1631,22.091858,-2.45349
2518,21.53949,-4.914333
3586,-23.658203,5.941683
2858,35.538147,-5.1789455
5386,23.868011,-8.2345085
5635,-18.164463,12.8341255
4490,2.7831478,-4.8410172
4743,16.03908,4.931937
2967,-25.214989,7.4548864
255,-4.7811775,9.795282
2550,-22.913477,18.753563
1194,14.526155,-0.48502266
222,-22.297379,-1.0829322
1742,-17.527882,5.1520696
4249,-13.759868,12.49347
4221,6.2909822,-9.093049
1162,-15.715919,15.719368
1401,-2.3504834,2.5790095
4352,8.223568,5.1558166
882,32.219772,-12.875445
5673,-5.8211255,-4.731802
4796,-5.850826,-18.583275
566,6.167076,-9.062467
756,4.0108595,3.07059
2500,11.952239,-4.7965574
3694,-7.25887,-0.73458916
1877,-11.603928,-6.6404247
80,-8.813776,7.499155
2338,1.5996687,-1.1285851
5591,18.845312,-14.779068
2804,24.220423,-4.2561426
764,36.62661,-10.308004
1600,8.811085,17.914494
2289,18.43302,-0.3471717
5262,-33.445496,9.078678
5026,-26.233997,17.997551
1884,0.68492204,-5.4343166
4733,28.348255,-2.558703
2192,10.703932,8.242623
5624,-28.189621,8.866438
2300,-10.074716,3.4479241
168,4.5167813,-13.031716
3251,26.709549,-0.84585357
5252,3.6525495,8.909664
3451,3.5173044,-8.08158
1510,5.1416874,-2.9350522
4662,-19.875032,11.369098
3168,-12.336562,-10.912316
229,6.8511996,9.205499
531,-2.978818,-0.04283557
2378,-13.131566,1.9125105
1372,-18.68523,-1.1648538
4869,-17.952112,11.052672
85,-8.121848,10.360422
3927,21.307991,-7.5105357
1023,14.21275,-8.106976
4819,34.8729,-6.285005
677,8.019093,14.119647
5904,-22.229345,3.878346
5820,-28.462032,4.939639
1449,-20.208508,3.32658
1658,-22.511694,-1.5620419
1696,0.5903468,-13.358144
1670,33.95421,-6.846006
5206,-1.1622455,-6.057013
4328,-9.934508,-17.997162
1617,-22.820095,2.0670393
