userId,pca_1,pca_2
1,-2.8549962,-1.0135579
2,-1.2289939,0.1846938
3,-0.80983025,-1.1467459
4,0.38196242,1.6125255
5,-0.5857188,-0.2962941
6,0.2515955,-1.4888384
7,-3.7406783,-0.21813728
8,0.7033014,-0.009385843
9,0.024698794,-0.39443457
10,-0.47043067,0.91581
11,0.048193634,1.2471658
12,-1.426034,-1.6944821
13,-0.7156614,1.0308591
14,0.066740274,-0.29849908
15,-2.071908,-0.62474644
16,0.033210844,-1.001745
17,-0.7520837,-0.5502413
18,-4.069827,-0.99630266
19,-0.5064905,0.27524084
20,0.5903467,-0.39734018
21,-1.9753366,1.0596277
22,-1.8714168,-0.14174667
23,-0.10803336,-1.4298071
24,0.12748408,-0.48241094
25,-0.3519864,0.38963604
26,-0.4518689,-0.9963361
27,-0.6062155,-0.51467395
28,-0.9289754,0.40162525
29,0.070711315,-1.1069016
30,0.04765916,0.76192844
31,-1.6398094,-0.029039064
32,-0.74394655,-0.43992433
33,-1.1853592,1.2112554
34,-0.3130643,-1.7752005
35,-1.1065948,0.03837438
36,-0.3203917,-2.2228198
37,-0.8420048,0.9704746
38,-1.8284922,-0.41370082
39,-0.44658053,-0.34266707
40,-0.9903737,2.6037567
41,-0.380439,-0.47750562
42,0.41380322,-1.0455663
43,-1.2451043,0.62470055
44,-1.3177027,-1.3652643
45,0.4393807,-1.0775149
46,-0.94338226,1.6469765
47,-1.5652363,-2.3278263
48,0.12771362,-0.05046805
49,0.69028974,-2.4481015
50,0.26952654,1.0180695
51,-0.37765127,-1.9609734
52,-0.9439562,-1.3918855
53,-0.6660566,-1.3962353
54,-2.8313534,0.35916737
55,-0.84848326,0.9056547
56,0.96703327,-1.872465
57,-0.3133461,-0.14587778
58,-0.29872072,-0.426838
59,-0.7448772,1.2490333
60,-1.4047456,-0.78186214
61,0.22726434,-0.5454158
62,-1.1308297,0.6140825
63,-0.4740131,-0.32938868
64,-1.7650797,-0.428069
65,-1.0231915,-0.25550637
66,-1.6110386,0.21792617
67,-0.30058968,-0.13002747
68,-0.039878905,-1.3646672
69,-1.0659643,-0.1355682
70,-2.4224093,-2.360509
71,0.032941043,-0.21269116
72,-2.177527,-0.40609655
73,-1.0138636,-0.14193968
74,-1.061955,-1.4928638
75,0.17722934,1.1372093
76,-0.6217296,0.016024355
77,-0.10125056,0.91295016
78,0.8196629,-0.65873784
79,0.19966364,-0.96599543
80,-1.5463674,0.12028472
81,1.1909482,0.19783619
82,0.5144679,1.2931956
83,-1.4535713,0.063935146
84,-0.12898052,0.7005199
85,-0.6119938,-0.08578049
86,-0.6201724,2.20125
87,-0.12184346,-1.8760061
88,0.5876545,-0.11233221
89,0.30199695,1.2043511
90,-1.181904,-0.15593374
91,2.0594664,2.3293521
92,-0.8091471,-0.8765699
93,0.7723743,0.54577905
94,-0.18659523,1.297877
95,-0.88743424,0.66793615
96,-0.8594524,0.46551305
97,-1.7584726,-0.74834424
98,0.9114089,-1.9094583
99,0.15457809,-0.87518907
100,-1.1031742,-0.7211973
101,-0.7066715,-0.47957972
102,-1.2294056,-1.8098211
103,-0.24146822,-0.588973
104,-0.80829066,-0.5751462
105,-0.0015997291,2.5009046
106,0.33301502,0.6764799
107,-0.9742198,-0.034047313
108,0.26811445,-0.73913336
109,0.5010937,-0.9438952
110,-0.3679107,-1.3578413
111,0.4321097,0.5729507
112,-2.514582,0.8910953
113,-0.9809876,-0.92856205
114,-0.9032055,-0.11667724
115,-1.9639682,0.5537902
116,-0.67609924,1.0709323
117,-0.053830206,0.6360958
118,0.72668886,-0.9885596
119,0.2940368,-1.0550389
120,0.36768472,-2.750461
121,-0.32253438,-0.20612408
122,0.29823083,-1.5582594
123,0.09395599,0.8134467
124,-2.2211552,-0.66745645
125,-1.3643773,0.86808676
126,0.48854774,-0.3330977
127,-0.17522314,-1.5072316
128,-1.7585957,-0.89800215
129,1.3015047,-0.265269
130,-2.0823936,-1.1694063
131,-0.024153769,-1.2542523
132,-0.075808644,0.22208682
133,-0.16499995,0.0534042
134,-0.007279098,0.22385922
135,-0.37419334,-0.6110721
136,-0.06382337,0.7332093
137,0.35873723,1.8894688
138,1.3279384,-0.0047367597
139,-0.019145727,1.580167
140,-1.5433624,-0.3772394
141,0.09202081,-1.5390669
142,0.4773041,2.0905426
143,0.54172844,1.469212
144,-1.0951078,0.49372098
145,-1.1442122,-0.76867914
146,-2.8287063,-0.34207767
147,0.7533598,0.3937163
148,-0.48758513,-0.28783306
149,-1.017129,-1.5414807
150,-0.56426775,0.7334607
151,-3.1938436,-0.09680745
152,0.71357024,-1.1842966
153,1.213353,-1.0034767
154,-0.974246,-0.04291159
155,-1.139025,-1.4455037
156,-1.9207541,0.51619196
157,-0.09273577,-0.45782426
158,0.9236641,-0.89842606
159,-0.03914243,-0.7593093
160,-0.3081134,0.30388013
161,-0.6793456,1.3835504
162,-1.2891232,-0.30239958
